--- Loading Fashion-MNIST CSVs ---
Backend: default.qubit CPU initialized.

[Classical CNN] Initialized on cuda | Trainable Params: 9918
Epoch 1/50 | Time: 45.9s | LR: 0.00100 | Train Acc: 0.7507 | Val Acc: 0.8515
Epoch 2/50 | Time: 38.9s | LR: 0.00100 | Train Acc: 0.8076 | Val Acc: 0.8588
Epoch 3/50 | Time: 39.1s | LR: 0.00099 | Train Acc: 0.8245 | Val Acc: 0.8707
Epoch 4/50 | Time: 38.3s | LR: 0.00098 | Train Acc: 0.8338 | Val Acc: 0.8777
Epoch 5/50 | Time: 39.6s | LR: 0.00098 | Train Acc: 0.8455 | Val Acc: 0.8818
Epoch 6/50 | Time: 38.1s | LR: 0.00096 | Train Acc: 0.8515 | Val Acc: 0.8833
Epoch 7/50 | Time: 39.5s | LR: 0.00095 | Train Acc: 0.8547 | Val Acc: 0.8822
Epoch 8/50 | Time: 38.4s | LR: 0.00094 | Train Acc: 0.8605 | Val Acc: 0.8905
Epoch 9/50 | Time: 38.8s | LR: 0.00092 | Train Acc: 0.8616 | Val Acc: 0.8893
Epoch 10/50 | Time: 38.2s | LR: 0.00090 | Train Acc: 0.8658 | Val Acc: 0.8893
Epoch 11/50 | Time: 37.7s | LR: 0.00089 | Train Acc: 0.8689 | Val Acc: 0.8930
Epoch 12/50 | Time: 37.3s | LR: 0.00086 | Train Acc: 0.8715 | Val Acc: 0.8883
Epoch 13/50 | Time: 39.3s | LR: 0.00084 | Train Acc: 0.8724 | Val Acc: 0.8918
Epoch 14/50 | Time: 38.5s | LR: 0.00082 | Train Acc: 0.8737 | Val Acc: 0.8892
Epoch 15/50 | Time: 37.9s | LR: 0.00079 | Train Acc: 0.8738 | Val Acc: 0.8952
Epoch 16/50 | Time: 38.2s | LR: 0.00077 | Train Acc: 0.8755 | Val Acc: 0.8948
Epoch 17/50 | Time: 39.5s | LR: 0.00074 | Train Acc: 0.8749 | Val Acc: 0.8932
Epoch 18/50 | Time: 38.7s | LR: 0.00071 | Train Acc: 0.8779 | Val Acc: 0.8948
